txn_id,customer,error_type,error_msg,timestamp
T1,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T12,Frank,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T13,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T18,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T19,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T24,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T25,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T28,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T32,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T60,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T67,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T75,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T76,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T80,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T86,Alice,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T107,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T114,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T116,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T133,Charlie,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T140,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T144,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T155,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T158,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T161,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T168,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T172,Frank,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T173,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T175,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T193,Alice,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T194,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T199,Charlie,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T206,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T211,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T213,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T217,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T218,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T219,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T223,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T227,Frank,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T228,Frank,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T231,Frank,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T232,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T233,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T238,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T240,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T241,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T242,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T259,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T263,Bob,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T268,Frank,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T279,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T287,Eve,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T296,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T297,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T302,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T304,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T308,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T312,Alice,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T325,David,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T326,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T327,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-23 21:43:11
T331,Charlie,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
T334,Charlie,NegativeAmount,NegativeAmount,2026-03-23 21:43:11
