txn_id,customer,error_type,error_msg,timestamp
T3,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T15,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T20,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T22,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T25,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T27,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T29,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T36,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T41,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T42,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T44,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T46,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T54,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T60,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T63,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T85,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T92,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T97,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T100,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T101,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T104,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T115,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T123,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T128,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T129,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T141,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T144,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T149,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T152,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T153,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T155,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T167,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T169,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T172,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T177,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T184,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T197,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T201,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T203,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T205,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T211,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T217,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T224,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T235,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T236,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T238,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T241,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T242,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T250,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T259,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T263,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T267,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T268,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T274,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T278,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T280,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T286,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T288,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T293,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T294,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T299,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T307,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T310,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T315,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T319,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T320,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T323,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T338,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T345,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T352,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T355,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T357,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T358,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T365,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T367,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T370,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T374,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T375,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T379,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T383,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T391,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T395,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T400,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T406,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T408,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T411,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T412,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T417,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T419,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T427,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T428,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T429,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T433,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T435,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T440,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T451,Bob,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T458,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T465,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T468,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T481,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T490,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T495,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T502,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T503,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T508,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T513,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T516,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T520,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T523,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T524,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T529,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T532,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T533,Eve,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T534,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T537,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T540,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T555,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T562,Alice,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T578,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T580,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T591,Charlie,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T597,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T599,David,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T602,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T618,Eve,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T623,Frank,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T624,David,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T625,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T627,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T635,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T641,Frank,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T644,Charlie,InvalidAmount,could not convert string to float: 'INVALID',2026-03-13 21:57:57
T651,Alice,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
T670,Bob,NegativeAmount,NegativeAmount,2026-03-13 21:57:57
