txn_id,customer,error_type,error_msg,timestamp
T7,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T8,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T10,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T16,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T24,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T38,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T40,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T41,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T43,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T51,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T54,Alice,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T61,Alice,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T65,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T66,Alice,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T82,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T85,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T90,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T109,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T112,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T114,Charlie,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T115,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T116,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T117,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T121,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T127,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T130,Alice,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T137,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T138,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T141,Alice,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T142,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T143,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T146,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T148,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T150,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T151,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T153,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T156,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T161,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T163,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T166,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T170,Alice,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T171,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T175,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T184,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T188,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T189,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T193,Alice,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T198,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T202,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T204,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T210,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T214,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T222,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T237,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T262,Alice,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T263,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T264,Charlie,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T265,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T274,Charlie,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T280,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T281,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T289,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T291,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T295,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T302,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T321,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T323,Alice,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T324,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T332,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T337,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T341,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T347,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T349,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T353,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T361,Charlie,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T362,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T370,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T375,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T380,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T382,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T391,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T400,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T406,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T411,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T412,Eve,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T413,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T417,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T434,Frank,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T440,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T447,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T451,David,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T454,Bob,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T461,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T463,Alice,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T465,Frank,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T471,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T478,David,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T493,Charlie,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T495,Eve,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T496,Alice,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T499,Charlie,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
T506,Alice,NegativeAmount,Amount cannot be negative,2026-03-13 20:37:47
T507,Bob,InvalidAmount,could not convert string to float: 'Invalid',2026-03-13 20:37:47
